TestName,Status,Duration,Timestamp,RetryCount,BrowserName,BrowserVersion
CheckFooterVisibility,Passed,2253,2025-05-09T19:06:52,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2381,2025-05-09T19:06:56,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2354,2025-05-09T19:07:00,0,chrome,135.0.7049.115
FormSubmission,Passed,2582,2025-05-09T19:07:04,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2460,2025-05-09T19:07:09,0,chrome,135.0.7049.115
InputPersistence,Passed,2526,2025-05-09T19:07:13,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2884,2025-05-09T19:07:17,0,chrome,135.0.7049.115
NavigationLinks,Passed,2458,2025-05-09T19:07:22,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2209,2025-05-09T19:07:26,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2258,2025-05-09T19:07:30,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2229,2025-05-09T19:07:34,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2206,2025-05-09T19:07:39,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2290,2025-05-09T19:07:44,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Passed,2463,2025-05-09T19:07:50,0,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2443,2025-05-09T19:07:55,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2468,2025-05-09T19:08:00,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,2824,2025-05-09T19:08:06,0,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2443,2025-05-09T19:08:12,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2284,2025-05-09T19:08:17,0,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2207,2025-05-09T19:08:22,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,272,2025-05-09T19:08:31,0,firefox,138.0.1
FeatureCardCount,Passed,276,2025-05-09T19:08:39,0,firefox,138.0.1
FormEmptyFieldError,Passed,492,2025-05-09T19:08:48,0,firefox,138.0.1
FormSubmission,Passed,1097,2025-05-09T19:08:58,1,firefox,138.0.1
HelpPageNavigation,Passed,428,2025-05-09T19:09:07,0,firefox,138.0.1
InputPersistence,Passed,289,2025-05-09T19:09:16,0,firefox,138.0.1
LoadCustomerCards,Passed,13204,2025-05-09T19:09:37,1,firefox,138.0.1
NavigationLinks,Passed,290,2025-05-09T19:09:46,0,firefox,138.0.1
SettingsDisplay,Passed,266,2025-05-09T19:09:54,0,firefox,138.0.1
StaticPageTitle,Passed,147,2025-05-09T19:10:03,0,firefox,138.0.1
CheckFooterVisibility,Passed,2250,2025-05-09T19:10:19,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2322,2025-05-09T19:10:23,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2319,2025-05-09T19:10:27,0,chrome,135.0.7049.115
FormSubmission,Passed,2501,2025-05-09T19:10:31,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2362,2025-05-09T19:10:35,0,chrome,135.0.7049.115
InputPersistence,Passed,2471,2025-05-09T19:10:39,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2825,2025-05-09T19:10:43,0,chrome,135.0.7049.115
NavigationLinks,Passed,2475,2025-05-09T19:10:47,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2239,2025-05-09T19:10:51,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2211,2025-05-09T19:10:55,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2242,2025-05-09T19:10:59,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2219,2025-05-09T19:11:04,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2349,2025-05-09T19:11:10,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Passed,2762,2025-05-09T19:11:15,1,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2369,2025-05-09T19:11:21,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2444,2025-05-09T19:11:26,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,2856,2025-05-09T19:11:32,0,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2469,2025-05-09T19:11:38,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2236,2025-05-09T19:11:43,0,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2225,2025-05-09T19:11:48,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,274,2025-05-09T19:11:57,0,firefox,138.0.1
FeatureCardCount,Passed,145,2025-05-09T19:12:05,0,firefox,138.0.1
FormEmptyFieldError,Passed,454,2025-05-09T19:12:14,0,firefox,138.0.1
FormSubmission,Passed,679,2025-05-09T19:12:23,0,firefox,138.0.1
HelpPageNavigation,Passed,389,2025-05-09T19:12:31,0,firefox,138.0.1
InputPersistence,Passed,419,2025-05-09T19:12:40,0,firefox,138.0.1
LoadCustomerCards,Passed,856,2025-05-09T19:12:49,0,firefox,138.0.1
NavigationLinks,Passed,280,2025-05-09T19:12:58,0,firefox,138.0.1
SettingsDisplay,Passed,243,2025-05-09T19:13:06,0,firefox,138.0.1
StaticPageTitle,Passed,195,2025-05-09T19:13:15,0,firefox,138.0.1
CheckFooterVisibility,Passed,2240,2025-05-09T19:13:39,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2311,2025-05-09T19:13:43,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2416,2025-05-09T19:13:47,0,chrome,135.0.7049.115
FormSubmission,Passed,2979,2025-05-09T19:13:51,1,chrome,135.0.7049.115
HelpPageNavigation,Passed,2563,2025-05-09T19:13:56,0,chrome,135.0.7049.115
InputPersistence,Passed,2474,2025-05-09T19:14:00,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2846,2025-05-09T19:14:04,0,chrome,135.0.7049.115
NavigationLinks,Passed,2393,2025-05-09T19:14:08,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2243,2025-05-09T19:14:12,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2242,2025-05-09T19:14:16,0,chrome,135.0.7049.115
